year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,,
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9,69,205,0,0,4.6,0,0,3.95,6.79,42.5,130,24,0,Nebraska,,0,0,0,5.9,,
2015,Nelson Agholor,Nelson,Agholor,WR,6,0,72,198,0,0,4.42,0,0,0,0,0,0,12,0,USC,,0,0,0,5.6,,
2015,Jay Ajayi,Jay,Ajayi,RB,6,0,72,221,0,0,4.57,0,0,4.1,7.1,39,121,19,0,Boise St.,,0,0,0,6,,
2015,Kwon Alexander,Kwon,Alexander,OLB,6,1,73,227,0,0,4.55,0,0,4.2,7.14,36,121,24,0,LSU,,0,0,0,5.4,,
2015,Mario Alford,Mario,Alford,WR,5,8,68,180,0,0,4.43,0,0,4.07,6.64,34,121,13,0,West Virginia,,0,0,0,5.3,,
2015,Javorius Allen,Javorius,Allen,RB,6,0,72,221,0,0,4.53,0,0,4.28,6.96,35.5,121,11,0,USC,,0,0,0,5.3,,
2015,Adrian Amos,Adrian,Amos,FS,6,0,72,218,0,0,4.56,0,0,4.03,7.09,35.5,122,0,0,Penn St.,,0,0,0,5.5,,
2015,Dres Anderson,Dres,Anderson,WR,6,1,73,187,0,0,0,0,0,0,0,0,0,13,0,Utah,,0,0,0,5.5,,
2015,Henry Anderson,Henry,Anderson,DE,6,6,78,294,0,0,5.03,0,0,4.19,7.2,30,111,0,0,Stanford,,0,0,0,5.6,,
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,6,5,77,244,0,0,0,0,0,0,0,0,0,0,0,South Carolina,,0,0,0,5.5,,
2015,Stephone Anthony,Stephone,Anthony,ILB,6,3,75,243,0,0,4.56,0,0,4.03,7.07,37,122,23,0,Clemson,,0,0,0,5.4,,
2015,Arik Armstead,Arik,Armstead,DT,6,7,79,292,0,0,5.1,0,0,4.53,7.57,34,117,24,0,Oregon,,0,0,0,6.2,,
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10,70,212,0,0,4.53,0,0,0,7.13,36.5,118,0,0,Auburn,,0,0,0,5.4,,
2015,Neiron Ball,Neiron,Ball,OLB,6,2,74,236,0,0,0,0,0,0,0,0,0,22,0,Florida,,0,0,0,4.9,,
2015,Tavaris Barnes,Tavaris,Barnes,DE,6,4,76,282,0,0,4.8,0,0,0,0,0,0,22,0,Clemson,,0,0,0,5,,
2015,Wil Baumann,Wil,Baumann,P,6,6,78,187,0,0,0,0,0,0,0,0,0,0,0,N.C. State,,0,0,0,5.1,,
2015,Vic Beasley,Vic,Beasley,OLB,6,3,75,246,0,0,4.53,0,0,4.15,6.91,41,130,35,0,Clemson,,0,0,0,6.1,,
2015,Blake Bell,Blake,Bell,TE,6,6,78,252,0,0,4.8,0,0,4.32,0,33,116,14,0,Oklahoma,,0,0,0,5.2,,
2015,Kenny Bell,Kenny,Bell,WR,6,1,73,197,0,0,4.42,0,0,4.15,6.66,41.5,129,7,0,Nebraska,,0,0,0,5.4,,
2015,Bryan Bennett,Bryan,Bennett,QB,6,2,74,211,0,0,4.81,0,0,4.2,7.13,37,125,0,0,Southeastern Louisiana,,0,0,0,0,,
2015,Michael Bennett,Michael,Bennett,DT,6,2,74,293,0,0,0,0,0,0,0,0,0,0,0,Ohio St.,,0,0,0,6,,
2015,E.J. Bibbs,E.J.,Bibbs,TE,6,2,74,258,0,0,0,0,0,0,0,0,0,20,0,Iowa St.,,0,0,0,5,,
2015,Angelo Blackson,Angelo,Blackson,DT,6,4,76,318,0,0,5.02,0,0,4.57,7.5,31,101,20,0,Auburn,,0,0,0,5,,
2015,Al Bond,Al,Bond,OG,6,4,76,303,0,0,5.57,0,0,4.65,7.9,23.5,90,22,0,Memphis,,0,0,0,5,,
2015,Detrick Bonner,Detrick,Bonner,FS,6,0,72,207,0,0,0,0,0,0,0,0,0,15,0,Virginia Tech,,0,0,0,5.2,,
2015,Anthony Boone,Anthony,Boone,QB,6,0,72,231,0,0,5.03,0,0,4.62,7.47,26.5,100,0,0,Duke,,0,0,0,5,,
2015,Brett Boyko,Brett,Boyko,OT,6,7,79,301,0,0,5.6,0,0,4.75,7.91,25,103,0,0,UNLV,,0,0,0,4.8,,
2015,Nick Boyle,Nick,Boyle,TE,6,4,76,268,0,0,5.04,0,0,4.23,0,30.5,112,20,0,Delaware,,0,0,0,5.2,,
2015,Brandon Bridge,Brandon,Bridge,QB,6,4,76,229,0,0,4.72,0,0,4.37,7.18,33,110,0,0,South Alabama,,0,0,0,5,,
2015,Kyle Brindza,Kyle,Brindza,K,6,1,73,236,0,0,0,0,0,0,0,0,0,14,0,Notre Dame,,0,0,0,4.8,,
2015,Da'Ron Brown,Da'Ron,Brown,WR,6,0,72,205,0,0,4.54,0,0,4.11,7.04,37,120,17,0,Northern Illinois,,0,0,0,4.9,,
2015,Dominique Brown,Dominique,Brown,RB,6,2,74,234,0,0,0,0,0,0,0,0,0,17,0,Louisville,,0,0,0,5,,
2015,Jamon Brown,Jamon,Brown,OT,6,4,76,323,0,0,0,0,0,0,0,0,0,0,0,Louisville,,0,0,0,5.3,,
2015,Malcolm Brown,Malcolm,Brown,RB,5,11,71,224,0,0,4.62,0,0,4.15,6.86,34.5,117,19,0,Texas,,0,0,0,5.2,,
2015,Malcom Brown,Malcom,Brown,DT,6,2,74,319,0,0,5.05,0,0,4.59,7.84,29.5,98,26,0,Texas,,0,0,0,6.1,,
2015,Trenton Brown,Trenton,Brown,OG,6,8,80,355,0,0,5.29,0,0,4.78,8.23,23.5,97,20,0,Florida,,0,0,0,5.3,,
2015,Michael Burton,Michael,Burton,FB,5,11,71,242,0,0,4.74,0,0,4.34,7.2,33,115,25,0,Rutgers,,0,0,0,4.8,,
2015,Ibraheim Campbell,Ibraheim,Campbell,SS,5,11,71,208,0,0,0,0,0,0,0,0,0,23,0,Northwestern,,0,0,0,5.2,,
2015,A.J. Cann,A.J.,Cann,OG,6,3,75,313,0,0,0,0,0,0,0,0,0,26,0,South Carolina,,0,0,0,6,,
2015,Shane Carden,Shane,Carden,QB,6,2,74,218,0,0,4.94,0,0,4.45,7.17,29.5,104,0,0,East Carolina,,0,0,0,5.1,,
2015,Joe Cardona,Joe,Cardona,LS,6,2,74,242,0,0,4.91,0,0,0,0,33,0,30,0,Navy,,0,0,0,0,,
2015,Alex Carter,Alex,Carter,CB,6,0,72,196,0,0,4.51,0,0,4.07,7.05,40,121,17,0,Stanford,,0,0,0,5.5,,
2015,B.J. Catalon,B.J.,Catalon,RB,5,7,67,186,0,0,4.57,0,0,4.15,6.9,36,114,0,0,TCU,,0,0,0,5.1,,
2015,Donald Celiscar,Donald,Celiscar,CB,5,11,71,194,0,0,4.62,0,0,0,0,0,120,0,0,Western Michigan,,0,0,0,5.3,,
2015,Anthony Chickillo,Anthony,Chickillo,DE,6,3,75,267,0,0,4.79,0,0,4.25,7.17,34.5,114,27,0,Miami,,0,0,0,5.1,,
2015,Gerald Christian,Gerald,Christian,TE,6,3,75,244,0,0,4.87,0,0,4.7,0,0,0,28,0,Louisville,,0,0,0,5.3,,
2015,Kyle Christy,Kyle,Christy,P,6,2,74,202,0,0,0,0,0,0,0,0,0,0,0,Florida,,0,0,0,0,,
2015,Frank Clark,Frank,Clark,DE,6,3,75,271,0,0,4.79,0,0,4.05,7.08,38.5,118,19,0,Michigan,,0,0,0,4.8,,
2015,Kaelin Clay,Kaelin,Clay,WR,5,10,70,195,0,0,4.51,0,0,4.26,6.97,33,113,10,0,Utah,,0,0,0,5.1,,
